id_solicitante,id_solicitacao_emprestimo,id_historico_banco,id_solicitante,idade,salario,situacao_imovel,tempo_trabalho,id_solicitacao_emprestimo,motivo,pontuacao,valor_total_solicitado,taxa_juros,possibilidade_inadimplencia,renda_percentual,id_historico_banco,inadiplencia_anteior,tempo_primeira_solicitacao
mSpOhThS-WzqZ,ozUdOvFM-tTcZ,sgFCOBcW-IgIg,mSpOhThS-WzqZ,24,62900,Aluguel,1,ozUdOvFM-tTcZ,"Medico ",D,16800,15.65,1,0.23,sgFCOBcW-IgIg,N,4
FAtQtTri-eraY,BH8WdzBF-25wh,gze4W38H-fH69,FAtQtTri-eraY,27,16800,Aluguel,3,BH8WdzBF-25wh,Pagamento_debitos,B,6500,11.99,1,0.39,gze4W38H-fH69,N,8
jKzBhTxh-o0s9,UDHqLcP5-MKTb,ZtFXywsl-Yy0D,jKzBhTxh-o0s9,34,33666,Aluguel,4,UDHqLcP5-MKTb,Pagamento_debitos,D,8000,17.49,1,0.24,ZtFXywsl-Yy0D,S,5
zCdM74Pg-wS2U,N5uz5gn2-LLr5,RNQnTqpr-qYSX,zCdM74Pg-wS2U,23,51840,Aluguel,1,N5uz5gn2-LLr5,Pagamento_debitos,D,12000,15.95,1,0.23,RNQnTqpr-qYSX,S,3
ymCxqYGx-Effb,hNq9wGDA-A1wJ,rrcGO8hf-EkDy,ymCxqYGx-Effb,24,101000,Hipoteca,3,hNq9wGDA-A1wJ,"Educativo ",A,7000,NULL,1,0.07,rrcGO8hf-EkDy,N,4
njGBnugm-85Dv,QKDlpIm7-sqMC,ObEkaKZr-9MDa,njGBnugm-85Dv,30,110400,Aluguel,1,QKDlpIm7-sqMC,"Empreendimento ",D,14000,16.89,1,0.13,ObEkaKZr-9MDa,N,6
WqgH0WAS-oyzU,uoezEWJq-SLXA,cpNNIy77-kuMX,WqgH0WAS-oyzU,24,60000,Aluguel,2,uoezEWJq-SLXA,Pagamento_debitos,E,25000,NULL,1,0.42,cpNNIy77-kuMX,S,2
QKzq12N2-0Uo7,vv8LOgKL-Y2uQ,yS78z9o8-R5gM,QKzq12N2-0Uo7,23,19200,Propria,NULL,vv8LOgKL-Y2uQ,Melhora_lar,A,6000,6.54,1,0.31,yS78z9o8-R5gM,N,4
noSvkcI9-CZvw,81hQhevO-NCOK,0ltmMNcA-4JDc,noSvkcI9-CZvw,24,35364,Aluguel,1,81hQhevO-NCOK,"Medico ",B,20000,12.53,1,0.57,0ltmMNcA-4JDc,N,4
nOCHCG3B-oirj,I9iO5CpP-BLfZ,bAAi9tQ0-jCMx,nOCHCG3B-oirj,37,6000,Propria,3,I9iO5CpP-BLfZ,"Empreendimento ",A,1300,6.03,1,0.22,bAAi9tQ0-jCMx,N,11
f6Lr8Gys-r19w,GhDl5ChM-AsPl,D5gkcoO1-tH03,f6Lr8Gys-r19w,34,60500,Aluguel,3,GhDl5ChM-AsPl,Pagamento_debitos,D,11200,15.62,1,0.19,D5gkcoO1-tH03,S,10
Ow5he9Bh-kgMs,w5fAxnpM-lC3t,SYKGZRea-dTWs,Ow5he9Bh-kgMs,22,56000,Hipoteca,5,w5fAxnpM-lC3t,"Medico ",E,15000,16,1,0.27,SYKGZRea-dTWs,S,4
e7sUWbxP-2dTw,QERc111F-YazF,MXQnh47W-adhB,e7sUWbxP-2dTw,22,36000,Hipoteca,NULL,QERc111F-YazF,"Educativo ",A,7500,NULL,1,NULL,MXQnh47W-adhB,S,2
pMtksNGj-Yq49,x8DWXu0i-mAMt,Jkdca0Ar-PEiO,pMtksNGj-Yq49,63,37000,Aluguel,24,x8DWXu0i-mAMt,Pagamento_debitos,C,5450,15.96,1,0.15,Jkdca0Ar-PEiO,N,22
mwEWEfTR-Gpf0,UjEfssJk-RzRj,gmQuAlIm-qx28,mwEWEfTR-Gpf0,38,58000,Aluguel,4,UjEfssJk-RzRj,"Medico ",E,9500,16.35,1,0.16,gmQuAlIm-qx28,S,16
3iEYC8WP-eM4E,oamXX8gM-JnAs,8YdLPWzM-576k,3iEYC8WP-eM4E,29,30108,Hipoteca,NULL,oamXX8gM-JnAs,"Educativo ",A,1400,8.9,1,0.05,8YdLPWzM-576k,N,9
RkI3kURq-UFXf,ek4m7BYg-T6jZ,tCSHFMhL-o2Wt,RkI3kURq-UFXf,28,52000,Aluguel,12,ek4m7BYg-T6jZ,Melhora_lar,B,5000,11.36,1,0.1,tCSHFMhL-o2Wt,N,7
kigNs6r5-eE71,9lGPyqP2-hJsi,cGQpuS8W-tfFa,kigNs6r5-eE71,22,60350,Hipoteca,6,9lGPyqP2-hJsi,"Medico ",D,35000,16.89,1,0.49,cGQpuS8W-tfFa,N,3
uhoTm6sf-eMyr,BPwQZxLO-2wg2,vCjDmWK7-XB2N,uhoTm6sf-eMyr,24,33996,Aluguel,2,BPwQZxLO-2wg2,"Educativo ",D,5000,14.96,1,0.15,vCjDmWK7-XB2N,S,4
RsyyA5i7-ESMo,tgCaixmr-uXTM,NIiAAX4o-qo55,RsyyA5i7-ESMo,27,74700,Hipoteca,7,tgCaixmr-uXTM,Melhora_lar,B,5000,11.49,1,0.07,NIiAAX4o-qo55,N,6
TccooMuS-9WMJ,R3iJsWIz-nEQ2,tgWAqObp-d8sA,TccooMuS-9WMJ,21,21600,Aluguel,NULL,R3iJsWIz-nEQ2,Pagamento_debitos,A,6700,6.92,1,0.31,tgWAqObp-d8sA,N,4
AN0Tv8Sl-Jdw9,K35HQxvr-EgfQ,050HN82m-mgF4,AN0Tv8Sl-Jdw9,24,9600,Aluguel,3,K35HQxvr-EgfQ,"Educativo ",C,1300,12.73,1,0.14,050HN82m-mgF4,N,2
kUHUlive-kcKp,M5aQ3j2S-l2K8,sTDQpDg1-q6iY,kUHUlive-kcKp,26,38000,Aluguel,3,M5aQ3j2S-l2K8,"Educativo ",B,13400,9.99,1,0.35,sTDQpDg1-q6iY,N,2
spZKWaah-CnpH,aQ8pGJKU-E1aW,AFhkvfv3-smX3,spZKWaah-CnpH,29,26004,Aluguel,5,aQ8pGJKU-E1aW,"Educativo ",B,4000,10,1,0.15,AFhkvfv3-smX3,N,7
FDOo8RjS-hm3I,nbtp0Mzk-2qck,FuZskhaf-IMPJ,FDOo8RjS-hm3I,30,54000,Aluguel,13,nbtp0Mzk-2qck,"Medico ",B,25000,10.74,1,0.46,FuZskhaf-IMPJ,N,6
zGFOoqXu-b5hx,KHyBcn07-c4j3,AsuGeRgH-sksZ,zGFOoqXu-b5hx,33,100000,Hipoteca,16,KHyBcn07-c4j3,"Medico ",B,6000,8.94,NULL,NULL,AsuGeRgH-sksZ,N,12
WUf7AE5v-Bn1Y,DBz5tBbR-bKxN,d2sLoQc3-bwca,WUf7AE5v-Bn1Y,26,22000,Aluguel,10,DBz5tBbR-bKxN,"Empreendimento ",B,10000,9.63,1,0.45,d2sLoQc3-bwca,N,4
YtYvr4Cj-bxpq,0lmyftrm-4bcR,SDXBWm4G-EPIP,YtYvr4Cj-bxpq,30,232050,Hipoteca,14,0lmyftrm-4bcR,"Medico ",E,25000,17.93,1,0.09,SDXBWm4G-EPIP,S,9
yBFou9Nl-UWg0,XWdQwrf8-DTR1,bqlE469j-Aj4f,yBFou9Nl-UWg0,26,24996,Aluguel,2,XWdQwrf8-DTR1,"Pessoal ",B,10000,NULL,1,0.4,bqlE469j-Aj4f,N,4
BQh2UH1M-eKJD,mlml1vB6-HnK2,hQ9qTMoa-lxwp,BQh2UH1M-eKJD,34,78000,Aluguel,9,mlml1vB6-HnK2,Pagamento_debitos,E,15000,16.4,1,0.19,hQ9qTMoa-lxwp,N,5
gbLzlMF9-kHDf,NrK7jAmv-tdLd,TACSdk65-yeyj,gbLzlMF9-kHDf,35,62000,Hipoteca,9,NrK7jAmv-tdLd,Melhora_lar,B,13000,9.25,1,0.21,TACSdk65-yeyj,N,10
3nivdstW-Kre1,K61rQ8oj-PR0t,1sEL6JfY-QWyc,3nivdstW-Kre1,33,68000,Hipoteca,NULL,K61rQ8oj-PR0t,"Pessoal ",B,5000,NULL,1,0.08,1sEL6JfY-QWyc,N,16
0ukL0auq-BYJI,rQokG9sY-x6tH,rmQ42xtt-QMEc,0ukL0auq-BYJI,41,33000,Aluguel,2,rQokG9sY-x6tH,"Medico ",C,13750,13.79,1,0.42,rmQ42xtt-QMEc,S,11
N4HGuN45-6pda,TiIONiEf-RZLZ,rnigGvLw-aW1P,N4HGuN45-6pda,30,96053,Hipoteca,15,TiIONiEf-RZLZ,"Medico ",D,30000,15.62,1,0.27,rnigGvLw-aW1P,N,5
SNNf47vL-a82o,yrIU7jwE-BmF3,Y22eDQ81-yRfo,SNNf47vL-a82o,22,24900,Hipoteca,1,yrIU7jwE-BmF3,"Medico ",C,5500,13.16,1,0.22,Y22eDQ81-yRfo,N,2
lJ3RrRDr-nBLm,5MsNMdbh-6Byo,bLNhwyWC-dnkb,lJ3RrRDr-nBLm,42,54000,Aluguel,4,5MsNMdbh-6Byo,Pagamento_debitos,C,16000,12.87,1,0.3,bLNhwyWC-dnkb,S,14
duaNutsR-3WUc,x5vU1QNy-Ef7b,FQ6lnvgr-2l6q,duaNutsR-3WUc,28,61000,Aluguel,9,x5vU1QNy-Ef7b,"Pessoal ",B,25000,9.91,1,0.41,FQ6lnvgr-2l6q,N,7
QkytDvfl-N1uF,TeoZgXFq-ZzjL,xETsrsND-hvp4,QkytDvfl-N1uF,24,79050,Aluguel,2,TeoZgXFq-ZzjL,"Medico ",B,2100,9.91,1,0.02,xETsrsND-hvp4,N,4
wROS8AN3-L7bY,eHHAOT4I-FdEq,5lvWgdpz-8Ily,wROS8AN3-L7bY,23,61000,Hipoteca,7,eHHAOT4I-FdEq,Melhora_lar,C,18000,12.09,1,0.3,5lvWgdpz-8Ily,S,3
pI7XYjvw-M7pZ,Gw81Gmj9-MM0o,hAwxkeIx-x1hm,pI7XYjvw-M7pZ,27,34900,Aluguel,3,Gw81Gmj9-MM0o,"Medico ",E,5000,16.7,1,0.14,hAwxkeIx-x1hm,S,9
m0EsrCQA-UxF8,ybSH8enN-9zbG,9UdFSUoj-JTbn,m0EsrCQA-UxF8,23,74000,Aluguel,3,ybSH8enN-9zbG,"Medico ",B,25000,10.36,1,0.34,9UdFSUoj-JTbn,N,2
3nRhlR8i-oOAS,Hxa2IflD-IM3I,7UlWWDkw-NBig,3nRhlR8i-oOAS,52,25000,Aluguel,23,Hxa2IflD-IM3I,"Medico ",D,5000,12.61,1,0.2,7UlWWDkw-NBig,S,22
SniIxJ44-alJb,eJ081Ayo-Frym,jOfMS80i-Zg5v,SniIxJ44-alJb,23,34000,Aluguel,7,eJ081Ayo-Frym,"Educativo ",B,10000,10.36,1,0.29,jOfMS80i-Zg5v,N,4
3Fn6Bsv2-lENb,eWgmMLkK-ZBt8,En3WPrh1-l38m,3Fn6Bsv2-lENb,22,42996,Aluguel,2,eWgmMLkK-ZBt8,Pagamento_debitos,C,14400,NULL,1,0.33,En3WPrh1-l38m,S,4
U3gSlG9i-Wn8g,sv85BbHe-li59,XdWUUbdU-pY84,U3gSlG9i-Wn8g,44,82000,Hipoteca,5,sv85BbHe-li59,Pagamento_debitos,C,8400,12.84,1,0.1,XdWUUbdU-pY84,S,17
Sk7ptRsI-zX1p,4UhWuGrp-kbn9,cg31AksU-KKvm,Sk7ptRsI-zX1p,28,64900,Hipoteca,12,4UhWuGrp-kbn9,Pagamento_debitos,D,25000,15.37,1,0.39,cg31AksU-KKvm,N,6
k9yN0XhB-mOhY,npYpRPsF-7TUf,f5aoiDdb-J2kK,k9yN0XhB-mOhY,22,108000,Aluguel,6,npYpRPsF-7TUf,"Educativo ",B,28000,NULL,1,0.26,f5aoiDdb-J2kK,N,4
SjqYgmfa-ykaI,B8cjyEpK-h1eg,nw27JFCw-lDpl,SjqYgmfa-ykaI,24,78000,Aluguel,1,B8cjyEpK-h1eg,Pagamento_debitos,B,3500,11.83,1,0.04,nw27JFCw-lDpl,N,3
1EdlwFH4-6qQa,ZsBkLvxa-c8q4,h9dI5OQt-gsev,1EdlwFH4-6qQa,25,42000,Aluguel,2,ZsBkLvxa-c8q4,"Medico ",D,6750,17.27,1,0.16,h9dI5OQt-gsev,N,2
Xno32HqX-3JxQ,aLZH7Rym-MeuY,djiyTBX5-kHfu,Xno32HqX-3JxQ,25,50950,Aluguel,5,aLZH7Rym-MeuY,Melhora_lar,B,20000,11.48,1,0.39,djiyTBX5-kHfu,N,3
MBg8Sndd-NSF5,6S9XmOX6-BFnY,dcP6KL1I-J2o0,MBg8Sndd-NSF5,22,66300,Aluguel,3,6S9XmOX6-BFnY,"Medico ",D,7500,14.96,1,0.1,dcP6KL1I-J2o0,N,2
6DBp9Aw5-uqXc,aD4lLEhf-2AGj,riLdus0G-swn1,6DBp9Aw5-uqXc,25,34800,Aluguel,2,aD4lLEhf-2AGj,"Pessoal ",D,5000,16.02,1,0.14,riLdus0G-swn1,S,3
LPJtJljb-WNZf,Y7e6kCFG-j3tQ,6yBzF0fS-cPMl,LPJtJljb-WNZf,26,108160,Aluguel,4,Y7e6kCFG-j3tQ,"Educativo ",E,35000,18.39,1,0.32,6yBzF0fS-cPMl,N,4
FB8Mbd1s-keAt,f8ajILh1-jJBz,yIuOMK6f-SKNQ,FB8Mbd1s-keAt,32,44000,Aluguel,4,f8ajILh1-jJBz,"Pessoal ",G,5000,20.17,1,0.11,yIuOMK6f-SKNQ,N,10
ulk1Ksv5-lSoJ,AICFPW2P-7n8K,IS1B2GRp-poWK,ulk1Ksv5-lSoJ,22,42000,Aluguel,6,AICFPW2P-7n8K,"Medico ",D,25000,14.59,1,0.6,IS1B2GRp-poWK,S,2
gPzGTvzd-YCHw,FptECc0u-OiGF,ME0OTs5h-qjMp,gPzGTvzd-YCHw,22,29000,Aluguel,2,FptECc0u-OiGF,"Educativo ",B,10500,9.99,1,0.36,ME0OTs5h-qjMp,N,3
LoDeL90q-JecM,OBqNtCyQ-u4fn,XulvfQIW-P07z,LoDeL90q-JecM,24,48000,Aluguel,8,OBqNtCyQ-u4fn,"Medico ",C,4000,5.99,NULL,0.07,XulvfQIW-P07z,N,6
gYjoo3jD-emAd,uDlmyeNO-dbNN,CAcJauAz-ctJX,gYjoo3jD-emAd,25,44000,Hipoteca,4,uDlmyeNO-dbNN,"Medico ",D,5550,14.11,1,0.13,CAcJauAz-ctJX,S,4
S1kTdP05-gTR2,Q4L3vglR-w9ev,c5mbkv4o-si92,S1kTdP05-gTR2,28,54000,Aluguel,5,Q4L3vglR-w9ev,Pagamento_debitos,B,12700,11.71,1,0.24,c5mbkv4o-si92,N,7
pd2rEj4U-lTMZ,mRwfDLrW-kM3k,FaOv3bwq-zCIC,pd2rEj4U-lTMZ,22,27000,Aluguel,3,mRwfDLrW-kM3k,Pagamento_debitos,A,2800,7.51,1,0.1,FaOv3bwq-zCIC,N,3
9n6XeDpD-zA76,vuv9BwOl-wkBu,r9Bgg2IY-F30Y,9n6XeDpD-zA76,NULL,40000,Aluguel,NULL,vuv9BwOl-wkBu,"Empreendimento ",B,4500,14.74,1,0.1,r9Bgg2IY-F30Y,N,10
MCo0wGTR-GKYT,vmeawZxI-dAJv,dIPQI91u-28oR,MCo0wGTR-GKYT,22,22560,Aluguel,3,vmeawZxI-dAJv,"Pessoal ",D,4200,15.2,1,0.19,dIPQI91u-28oR,S,4
guFdcytZ-qpxP,RYDNSh6F-uKnJ,YUSJvJ6Z-Z1dH,guFdcytZ-qpxP,29,33996,Aluguel,11,RYDNSh6F-uKnJ,"Educativo ",C,4000,13.47,1,0.12,YUSJvJ6Z-Z1dH,N,7
8WNWiQ81-IDAI,J0ZkvMRH-ze1t,M6Ig4iR4-ykpF,8WNWiQ81-IDAI,33,51000,Aluguel,17,J0ZkvMRH-ze1t,"Medico ",D,5000,14.96,1,0.1,M6Ig4iR4-ykpF,S,9
TenczLdH-GbAY,X75IPvzb-zEnl,wHtKRCa0-NR75,TenczLdH-GbAY,21,24996,Aluguel,2,X75IPvzb-zEnl,"Educativo ",E,5000,16.45,1,0.2,wHtKRCa0-NR75,N,4
